No;firm;year;sector;emp;wage;capital;output
33;5;1980;7;4.490881006;2.95955059;3.340718201;4.606392439
34;5;1981;7;4.415219566;2.986903414;3.250215565;4.590330622
35;5;1982;7;4.300002758;2.964618213;3.013969902;4.600241068
36;6;1976;3;-0.290352261;3.143673716;-1.775492438;4.632516834
37;6;1977;3;-0.266573148;3.022340173;-1.821394274;4.673081139
38;6;1978;3;-0.271808697;3.041599121;-1.897786874;4.688396743
39;6;1979;3;-0.316081588;3.0801929;-1.925519528;4.710601699
40;6;1980;3;-0.313341806;3.155752792;-1.918684163;4.624251965
41;6;1981;3;-0.249744259;3.183256937;-1.957577883;4.600128508
42;6;1982;3;-0.245900526;3.227101858;-2.070680036;4.598249322
43;7;1976;3;0.470003629;3.429178856;-0.006621896;4.65173311
44;7;1977;3;0.500775288;3.351832052;-0.069350046;4.67729641
45;7;1978;3;0.518793734;3.396526524;-0.035627209;4.69060265
46;7;1979;3;0.518793734;3.420653511;-0.037805736;4.714554495
47;7;1980;3;0.506817602;3.313771373;-0.08077631;4.605170186
48;7;1981;3;0.444685757;3.449568379;-0.00080033;4.599116902
49;7;1982;3;0.431782416;3.468008319;-0.127606091;4.598076062
50;8;1976;3;2.213207337;3.431044136;1.514819537;4.65173311
51;8;1977;3;2.384625803;3.197362014;1.530264827;4.67729641
52;8;1978;3;2.374812727;3.334195349;1.616870244;4.69060265
53;8;1979;3;2.394161036;3.35844641;1.584079119;4.714554495
54;8;1980;3;2.370056808;3.34939164;1.170033321;4.605170186
55;8;1981;3;2.100958361;3.457439079;1.041794993;4.599116902
56;8;1982;3;1.547775295;3.397734693;0.559958586;4.598076062
57;9;1976;3;0.69614269;3.261264591;-0.961288072;4.632516834
58;9;1977;3;0.976821194;3.08897213;-0.787238104;4.673081139
59;9;1978;3;0.997686333;3.127198992;-0.79208395;4.688396743
60;9;1979;3;1.00941671;3.151538725;-0.793188535;4.710601699
61;9;1980;3;1.014143132;3.138693441;-0.760142071;4.624251965
62;9;1981;3;1.046968056;3.190657363;-0.731887988;4.600128508
63;9;1982;3;1.012327956;3.292066768;-0.743809074;4.598249322
64;10;1976;7;1.341035455;3.150738302;0.121597972;4.557718975
65;10;1977;7;1.369910856;3.059884783;0.014198719;4.571939089
66;10;1978;7;1.260731166;3.041274311;0.110556991;4.597473633
67;10;1979;7;1.25846099;3.018158906;0.150658876;4.612478416
68;10;1980;7;1.243289667;3.156770608;0.079457921;4.605170186
69;10;1981;7;1.128171059;3.256375789;0.061659286;4.58733609
70;10;1982;7;1.182340535;3.259484037;0.09148469;4.602802345
71;11;1976;3;0.306749135;3.138160181;-0.891842027;4.65173311
72;11;1977;3;0.297137231;3.007043114;-0.554951647;4.67729641
73;11;1978;3;0.291176036;3.097543955;-0.586447598;4.69060265
74;11;1979;3;0.302324349;3.115717372;-0.664559685;4.714554495
75;11;1980;3;0.234281375;3.117396656;-0.528480542;4.605170186
76;11;1981;3;0.146694379;3.256499109;-0.724225157;4.599116902
77;11;1982;3;0.161268148;3.179490298;-0.83034242;4.598076062
78;12;1976;3;0.576613364;3.535119086;-1.359068336;4.65173311
79;12;1977;3;0.496523839;3.414373527;-1.57407072;4.67729641
80;12;1978;3;0.329303747;3.438592744;-1.609938037;4.69060265
81;12;1979;3;0.300104592;3.505872693;-1.605944023;4.714554495
82;12;1980;3;0.07881118;3.408328594;-1.915283956;4.605170186
83;12;1981;3;-0.248461398;3.392540015;-2.155890714;4.599116902
84;12;1982;3;-0.385662466;3.437963193;-2.267217949;4.598076062
85;13;1976;1;0.855691067;3.10831519;-0.547316784;4.834744217
86;13;1977;1;0.869618282;3.138129827;-0.577499793;4.851756008
87;13;1978;1;0.864997437;3.156706718;-0.639985632;4.83174305
88;13;1979;1;0.881699287;3.258258063;-0.657780017;4.828520916
89;13;1980;1;0.818016163;3.184992245;-0.774791191;4.666306677
90;13;1981;1;0.574926549;3.260297998;-0.980829253;4.585711069
91;13;1982;1;0.429832399;3.357120094;-1.156135443;4.573343043
92;14;1978;1;1.152153056;3.040289731;-0.941095876;4.847226557
93;14;1979;1;1.130110956;3.085970522;-0.841415174;4.825448837
94;14;1980;1;1.095607746;3.165517241;-0.860856025;4.778393815
95;14;1981;1;0.990284375;3.063040393;-0.964955878;4.598725433
96;14;1982;1;0.777028665;3.239607471;-1.18711572;4.577210923
97;14;1983;1;0.588342066;3.247311667;-1.589145209;4.576713066
98;14;1984;1;0.356274864;3.244356459;-1.78081947;4.605032156
99;15;1977;9;1.976854925;3.117498477;0.615077525;4.657150494
100;15;1978;9;1.990746944;3.093534754;0.653106131;4.683827011
101;15;1979;9;1.959672174;3.104147075;0.78184459;4.706809386
102;15;1980;9;1.974219933;3.029205685;0.889741397;4.663130556
103;15;1981;9;1.887372664;3.073392191;0.754007069;4.570507331
104;15;1982;9;1.669780123;3.142215059;0.444301132;4.521802675
105;15;1983;9;1.685287243;3.222863822;0.305718435;4.524489296
106;16;1976;4;1.014143132;3.379350466;-0.086102677;4.757032535
107;16;1977;4;0.967744013;3.298374385;-0.149312415;4.751000634
108;16;1978;4;0.973426961;3.305977864;-0.160286153;4.725616339
109;16;1979;4;0.98842533;3.282578997;-0.63922732;4.69043003
110;16;1980;4;0.882527143;3.23313764;-0.64207391;4.605170186
111;16;1981;4;0.796605844;3.229740589;-0.569161236;4.490881006
112;16;1982;4;0.744790366;3.312169391;-0.670994356;4.505349851
113;17;1977;1;0.086177696;3.175350179;-2.054163812;4.845477592
114;17;1978;1;0.13453098;3.118564717;-1.971125398;4.847226557
115;17;1979;1;0.178146269;3.138970731;-1.717580071;4.825448837
116;17;1980;1;0.230317676;3.220258828;-1.695540557;4.778393815
117;17;1981;1;0.276873874;3.188775275;-1.753885875;4.598725433
118;17;1982;1;0.172271221;3.34870688;-1.916642651;4.577210923
119;17;1983;1;0.151002874;3.383013044;-2.082646673;4.576713066
120;18;1977;4;2.002425513;3.400160211;0.156490797;4.755527968
121;18;1978;4;2.000398361;3.268088795;0.234518609;4.744714713
122;18;1979;4;1.97380321;3.248543359;0.30276771;4.716935149
123;18;1980;4;1.927455214;3.191290792;0.449290524;4.669786829
124;18;1981;4;1.813357869;3.191220929;0.294831455;4.57779902
125;18;1982;4;1.755268326;3.278928048;0.129711607;4.494517938
126;18;1983;4;1.702381658;3.280648023;-0.040509512;4.495355298
127;19;1976;4;3.158318701;3.526960374;1.700411448;4.757032535
128;19;1977;4;3.114448207;3.411777844;1.622472571;4.751000634
129;19;1978;4;3.084932873;3.373894665;1.628769841;4.725616339
130;19;1979;4;3.047707788;3.354682093;1.743898908;4.69043003
131;19;1980;4;2.956887542;3.391631743;1.608877756;4.605170186
132;19;1981;4;2.787969763;3.444815463;1.539851987;4.490881006
133;19;1982;4;2.703238644;3.522021655;1.421396026;4.505349851
134;20;1977;4;0.051643233;3.333810363;-1.97616312;4.755527968
135;20;1978;4;0.11064652;3.279526799;-1.828838415;4.744714713
136;20;1979;4;0.117783036;3.242756401;-1.774902411;4.716935149
137;20;1980;4;0.039220713;3.244948948;-1.426699776;4.669786829
138;20;1981;4;-0.005012542;3.238286218;-1.545524587;4.57779902
139;20;1982;4;-0.080126066;3.24012842;-1.600973834;4.494517938
140;20;1983;4;-0.096510911;3.274287826;-1.673443242;4.495355298
141;21;1977;4;0.688637075;3.39070924;-0.846065264;4.755527968
142;21;1978;4;0.982452934;3.336779778;-0.620268517;4.744714713
143;21;1979;4;1.077388652;3.279910715;-0.563523448;4.716935149
144;21;1980;4;1.103599863;3.240484702;-0.419310469;4.669786829
145;21;1981;4;0.993622075;3.235528398;-0.515503247;4.57779902
146;21;1982;4;0.597186789;3.304693823;-0.706435055;4.494517938
147;21;1983;4;0.489193324;3.357060872;-0.905845499;4.495355298
148;22;1976;4;0.336472237;3.351996633;-1.705948813;4.757032535
149;22;1977;4;0.373630316;3.218935783;-1.696085665;4.751000634
150;22;1978;4;0.42199441;3.15426481;-1.708153885;4.725616339
151;22;1979;4;0.44404459;3.140706651;-1.610939039;4.69043003
152;22;1980;4;0.436963775;3.146735147;-1.683084453;4.605170186
153;22;1981;4;0.291923067;2.998643033;-1.889813476;4.490881006
154;22;1982;4;0.030529205;3.051398694;-2.024953356;4.505349851
155;23;1976;4;2.356599681;3.481455451;0.285554811;4.757032535
156;23;1977;4;2.312040252;3.363935016;0.304317926;4.751000634
157;23;1978;4;2.186051232;3.290574861;0.467813733;4.725616339
158;23;1979;4;2.144643858;3.301771076;0.253478751;4.69043003
159;23;1980;4;1.863770005;3.343409358;0.130062884;4.605170186
160;23;1981;4;1.687324488;3.292011038;-0.129653174;4.490881006
161;23;1982;4;1.549475592;3.374576195;-0.269580224;4.505349851
162;24;1976;4;0.515215972;3.317446139;-0.951141009;4.757032535
163;24;1977;4;0.576613364;3.204314278;-0.890622985;4.751000634
164;24;1978;4;0.597186789;3.162880927;-0.706029786;4.725616339
165;24;1979;4;0.585005022;3.157502465;-0.711718587;4.69043003
166;24;1980;4;0.539413081;3.16531896;-0.806315879;4.605170186
167;24;1981;4;0.258510695;3.094608814;-1.075286493;4.490881006
168;24;1982;4;0.188966017;3.33626408;-1.152962915;4.505349851
169;25;1976;4;-0.258770716;3.540953585;-2.787093408;4.757032535
170;25;1977;4;-0.238257202;3.408076996;-2.755141746;4.751000634
171;25;1978;4;-0.198450951;3.396647045;-2.653562016;4.725616339
172;25;1979;4;-0.197232194;3.355764077;-2.345492625;4.69043003
173;25;1980;4;-0.188742113;3.311487822;-2.473373461;4.605170186
174;25;1981;4;-0.209487237;3.145978154;-2.688247515;4.490881006
175;25;1982;4;-0.298406063;3.304752558;-2.864704011;4.505349851
176;26;1976;4;1.126875754;3.372523521;-0.687562822;4.757032535
177;26;1977;4;1.194225483;3.274620834;-0.604770107;4.751000634
178;26;1978;4;1.217579778;3.262100052;-0.504181131;4.725616339
179;26;1979;4;1.199663533;3.21587934;-0.581784713;4.69043003
180;26;1980;4;1.142310176;3.231108658;-0.528480542;4.605170186
181;26;1981;4;0.996948635;3.275615224;-0.743388418;4.490881006
182;26;1982;4;0.918288774;3.306384781;-0.609357692;4.505349851
183;27;1978;4;1.883274548;3.257180734;0.556983756;4.725616339
184;27;1979;4;1.852697752;3.247579932;0.640326404;4.69043003
185;27;1980;4;1.749547603;3.259906438;0.517840959;4.605170186
186;27;1981;4;1.583093917;3.255389068;0.464299831;4.490881006
187;27;1982;4;1.482740305;3.325625811;0.388929139;4.505349851
188;27;1983;4;1.992521083;2.959410554;0.363948428;4.464758055
189;27;1984;4;1.966412811;3.466947637;0.340179641;4.470495306
190;28;1977;5;-0.479649974;2.582706153;-3.393229242;4.542762694
191;28;1978;5;-0.32020525;2.614479175;-3.231454556;4.587006185
192;28;1979;5;-0.25747623;2.670749776;-3.130407223;4.630513319
193;28;1980;5;-0.343899767;2.668095886;-2.857710993;4.625136525
194;28;1981;5;-0.429245606;2.714131671;-2.91323107;4.600074214
195;28;1982;5;-0.65200518;2.795719079;-3.119030513;4.546038897
196;28;1983;5;-0.699165233;2.841251481;-3.228926161;4.595708525
197;29;1977;5;0.104360015;3.33274722;-2.085862109;4.561218267
198;29;1978;5;0.130150772;3.334751264;-1.970407709;4.607168189
199;29;1979;5;0.178982656;3.358449924;-1.802416049;4.628886713
200;29;1980;5;0.211880278;3.371826963;-1.836966062;4.616110126
201;29;1981;5;0.05259245;3.388810952;-1.961125315;4.574195351
202;29;1982;5;-0.062939789;3.424894377;-1.983404353;4.56486892
203;29;1983;5;-0.093212371;3.504096871;-1.965398826;4.638121286
204;30;1976;4;0.121332197;3.458594872;-1.809109108;4.757032535
205;30;1977;4;0.166361537;3.290667975;-1.749850009;4.751000634
206;30;1978;4;0.162118849;3.261969835;-1.573588211;4.725616339
207;30;1979;4;0.173112618;3.315668542;-1.558269626;4.69043003
208;30;1980;4;0.138891999;3.304473536;-1.550697417;4.605170186
209;30;1981;4;-0.043951867;3.205356895;-1.682546384;4.490881006
210;30;1982;4;-0.115410885;3.211170213;-1.68848112;4.505349851
211;31;1976;3;0.582774123;3.148556402;-1.723166678;4.65173311
212;31;1977;3;0.590560536;3.041164425;-1.409767676;4.67729641
213;31;1978;3;0.724161234;3.084443501;-1.098112414;4.69060265
214;31;1979;3;0.685115009;3.155965844;-1.145389449;4.714554495
215;31;1980;3;0.443402947;3.215666721;-1.292803982;4.605170186
216;31;1981;3;0.250758718;3.335712635;-1.393520406;4.599116902
217;31;1982;3;0.105260421;3.321371003;-1.738408294;4.598076062
218;32;1977;5;0.571544359;3.053439751;-1.753308283;4.56486892
219;32;1978;5;0.581097677;3.046273285;-1.755041828;4.611152258
220;32;1979;5;0.621113924;3.045050917;-1.824489294;4.628561464
221;32;1980;5;0.622724716;3.048296213;-1.925519528;4.614295424
222;32;1981;5;0.509224342;2.938891991;-2.138767008;4.568938722
223;32;1982;5;0.412771683;3.026935354;-2.268183666;4.568592318
224;32;1983;5;0.402794946;3.140114007;-2.322787831;4.646391781
225;33;1976;5;2.589942113;3.193570283;0.634988266;4.539030362
226;33;1977;5;2.60335613;3.156591827;0.60141559;4.582924608
227;33;1978;5;2.599127794;3.153398239;0.675797542;4.630837933
228;33;1979;5;2.463938343;3.123993553;0.627968455;4.626931678
229;33;1980;5;2.370804332;3.189096798;0.499623109;4.605170186
230;33;1981;5;2.177135254;3.455654032;0.294161039;4.542230408
231;33;1982;5;1.837847573;3.220498508;0.059306106;4.587006185
232;34;1977;5;0.194744077;2.720288342;-2.196424897;4.561218267
233;34;1978;5;0.266969031;2.718389895;-2.118598257;4.607168189
234;34;1979;5;0.330022913;2.827727737;-2.084253099;4.628886713
235;34;1980;5;0.341459707;2.818135537;-2.024196067;4.616110126
236;34;1981;5;0.14496577;2.818732531;-2.198225078;4.574195351
237;34;1982;5;0.177309015;2.844036852;-2.32585372;4.56486892
238;34;1983;5;0.300845059;2.882686748;-2.347582438;4.638121286
239;35;1977;5;1.68138643;3.247377719;0.605244497;4.550185899
240;35;1978;5;1.769002448;3.214040152;0.746213901;4.59511985
241;35;1979;5;1.802699409;3.337515347;0.795342648;4.629862799
242;35;1980;5;1.905683216;3.357168863;0.803480312;4.62153554
243;35;1981;5;2.648653991;3.369551904;1.466213961;4.589802689
244;35;1982;5;2.538605382;3.429049226;1.488286733;4.553613678
245;35;1983;5;2.501517916;3.47493716;1.516927787;4.612890309
246;36;1976;5;-0.752897206;3.178182947;-2.184802057;4.539030362
247;36;1977;5;-0.738144567;3.140767202;-2.030270498;4.582924608
248;36;1978;5;-0.816445397;3.165335756;-1.920047558;4.630837933
249;36;1979;5;-0.796287917;3.151808242;-1.748700037;4.626931678
250;36;1980;5;-0.88916204;3.152526599;-1.646620704;4.605170186
251;36;1981;5;-0.951917884;3.173053893;-1.764922757;4.542230408
252;36;1982;5;-1.02165122;3.134093235;-1.872102222;4.587006185
253;37;1977;4;2.667228207;3.472578067;0.492926384;4.755527968
254;37;1978;4;2.689139176;3.434038816;0.463293668;4.744714713
255;37;1979;4;2.669794356;3.466192018;0.558472277;4.716935149
256;37;1980;4;2.597937672;3.397564089;0.575207883;4.669786829
257;37;1981;4;2.459332399;3.406755241;0.756497496;4.57779902
258;37;1982;4;2.306577114;3.46718479;0.812440231;4.494517938
259;37;1983;4;2.20684481;3.590386966;0.756309709;4.495355298
260;38;1976;6;2.009287309;3.273799559;0.735344229;4.665085851
261;38;1977;6;2.064327917;3.128605325;0.723870402;4.691049673
262;38;1978;6;2.110819089;3.109534106;0.811729941;4.680856341
263;38;1979;6;2.0994892;3.237253869;0.871460674;4.649826102
264;38;1980;6;2.008482466;3.310867742;0.706013997;4.605170186
265;38;1981;6;1.780530004;3.323581726;0.329303747;4.529832184
266;38;1982;6;1.617009198;3.3245215;0.331172575;4.500238434
267;39;1977;4;0.394741145;3.456638364;-1.453716995;4.755527968
268;39;1978;4;0.438899884;3.279978412;-1.224515672;4.744714713
269;39;1979;4;0.442118426;3.246810007;-1.06479074;4.716935149
270;39;1980;4;0.485507816;3.310889669;-1.061027528;4.669786829
271;39;1981;4;0.341459707;3.32522309;-1.20463966;4.57779902
272;39;1982;4;-0.205794901;3.314015081;-1.576970722;4.494517938
273;39;1983;4;-0.358104537;3.371366808;-1.747551215;4.495355298
274;40;1976;6;2.577409863;3.262808534;0.511984951;4.668666915
275;40;1977;6;2.556762087;3.17178841;0.507720809;4.684621642
276;40;1978;6;2.498891734;3.151718411;0.489867529;4.683414662
277;40;1979;6;2.516082267;3.194423242;0.470753348;4.657674397
278;40;1980;6;2.538605382;3.304532284;0.6550818;4.616522504
279;40;1981;6;2.544432629;3.3594583;0.599770131;4.549205968
280;40;1982;6;2.501026032;3.36470973;0.523011138;4.507719406
281;41;1977;4;2.520032452;3.334776201;0.329303747;4.755527968
282;41;1978;4;2.655633469;3.248267662;0.446223101;4.744714713
283;41;1979;4;2.690361338;3.236975041;0.654250415;4.716935149
284;41;1980;4;2.696584723;3.266713154;0.799801858;4.669786829
285;41;1981;4;2.702099196;3.293445082;0.823385614;4.57779902
286;41;1982;4;2.626406212;3.330975148;0.793263927;4.494517938
287;41;1983;4;2.574594996;3.394219795;0.771496193;4.495355298
288;42;1976;6;0.20538683;3.178303841;-1.261601917;4.665085851
289;42;1977;6;0.590560536;3.151033762;-1.228948756;4.691049673
290;42;1978;6;0.544066958;3.055141993;-1.203306393;4.680856341
291;42;1979;6;0.576051409;3.11281284;-1.118100935;4.649826102
292;42;1980;6;0.27307592;3.178678593;-1.310074298;4.605170186
293;42;1981;6;-0.358104537;3.123931978;-1.693363147;4.529832184
294;42;1982;6;-0.500875276;3.20954846;-2.044074398;4.500238434
295;43;1977;1;2.490888721;2.929966279;0.859889678;4.845477592
296;43;1978;1;2.882507527;2.757265672;0.892694518;4.847226557
297;43;1979;1;2.873508084;2.780383266;0.842644192;4.825448837
298;43;1980;1;2.885861658;2.809408719;0.812928175;4.778393815
299;43;1981;1;2.396348623;3.198705729;0.845181293;4.598725433
300;43;1982;1;2.29071492;3.339974212;0.705964684;4.577210923
301;43;1983;1;2.19064744;3.371813198;0.622563759;4.576713066
302;44;1977;4;-0.247180104;3.166685328;-1.417165984;4.755527968
303;44;1978;4;-0.174353423;3.087613855;-1.452006904;4.744714713
304;44;1979;4;-0.126697676;3.076680725;-1.354795733;4.716935149
305;44;1980;4;-0.14502576;3.043555304;-1.436325295;4.669786829
306;44;1981;4;-0.341082807;3.023901762;-1.597509342;4.57779902
307;44;1982;4;-0.529329112;3.091542328;-1.762006511;4.494517938
308;44;1983;4;-0.279713929;3.165808284;-1.773723107;4.495355298
309;45;1977;1;3.474757616;3.213235951;2.441503201;4.845477592
310;45;1978;1;3.523886879;3.249614475;2.448501968;4.847226557
311;45;1979;1;3.537736746;3.274492161;2.556094887;4.825448837
312;45;1980;1;3.506997801;3.376587016;2.57816928;4.778393815
313;45;1981;1;3.435083378;3.334152611;2.456584333;4.598725433
314;45;1982;1;3.266751285;3.470891372;2.386650468;4.577210923
315;45;1983;1;3.193722106;3.481353929;2.319766641;4.576713066
316;46;1976;1;1.088898596;2.973113384;0.02381408;4.842323935
317;46;1977;1;1.120047602;2.958139435;-0.07612539;4.854880106
318;46;1978;1;1.10856262;2.929138308;-0.097833393;4.823909654
319;46;1979;1;1.085189268;3.086619094;-0.084251552;4.830053024
320;46;1980;1;0.938834657;2.981247879;-0.147108853;4.605170186
321;46;1981;1;0.818016163;3.173263207;-0.161930879;4.579139262
322;46;1982;1;0.773805084;3.271058286;-0.223768759;4.571403484
323;47;1976;4;0.886243852;3.309341562;-0.642644179;4.757032535
324;47;1977;4;0.761739972;3.254972432;-0.90263443;4.751000634
325;47;1978;4;0.679555227;3.21242301;-1.020263295;4.725616339
326;47;1979;4;0.584447764;3.196630257;-1.079692374;4.69043003
327;47;1980;4;0.440188544;3.101348257;-1.155817794;4.605170186
328;47;1981;4;0.202940844;3.101834059;-1.356735598;4.490881006
329;47;1982;4;0.074179398;3.137323021;-1.464904805;4.505349851
330;48;1976;1;0.498955451;3.243107805;-0.983766897;4.842323935
331;48;1977;1;0.848868013;3.142517322;-0.651621434;4.854880106
332;48;1978;1;0.872547767;3.16955532;-0.578747676;4.823909654
333;48;1979;1;0.856116051;3.311097568;-0.567925251;4.830053024
334;48;1980;1;0.827240871;3.130459869;-0.481105038;4.605170186
335;48;1981;1;0.715397838;3.270355702;-0.64645451;4.579139262
336;48;1982;1;0.658555736;3.3200524;-0.828050966;4.571403484
337;49;1976;4;1.323886874;3.305647803;0.014790085;4.767289035
338;49;1977;4;1.30616829;3.190533921;-0.050767107;4.752512024
339;49;1978;4;1.313992449;3.133962609;-0.097502559;4.732023077
340;49;1979;4;1.308062486;3.108672491;-0.029840832;4.699343356
341;49;1980;4;1.237504288;3.101883432;-0.127151808;4.627176266
342;49;1981;4;1.042394609;3.029500601;-0.252958649;4.520701051
343;49;1982;4;0.960498948;3.081584229;-0.429552919;4.50175226
344;50;1976;6;4.288567241;3.234784606;3.290466918;4.665085851
345;50;1977;6;4.294437818;3.126343826;3.244017078;4.691049673
346;50;1978;6;4.259477614;3.103631065;3.264793295;4.680856341
347;50;1979;6;4.284165704;3.132424335;3.248325883;4.649826102
348;50;1980;6;4.171351914;3.206588646;3.110680183;4.605170186
349;50;1981;6;3.877679977;3.209358721;2.891176989;4.529832184
350;50;1982;6;3.703989742;3.208344565;2.762216365;4.500238434
351;51;1976;1;-0.265268452;3.149710081;-1.383897197;4.834744217
352;51;1977;1;-0.279713929;3.092400622;-1.494325105;4.851756008
353;51;1978;1;-0.321583597;3.077280048;-1.566378423;4.83174305
354;51;1979;1;-0.400477537;3.155816742;-1.67932404;4.828520916
355;51;1980;1;-0.438504993;3.126931574;-1.781413177;4.666306677
356;51;1981;1;-0.579818495;3.226597933;-1.977607236;4.585711069
357;51;1982;1;-0.594207251;3.322475227;-2.032557956;4.573343043
358;52;1976;4;2.651761997;3.333228985;1.04693299;4.757032535
359;52;1977;4;2.654930679;3.187905146;0.985331602;4.751000634
360;52;1978;4;2.636554199;3.105599573;0.934169942;4.725616339
361;52;1979;4;2.611172126;3.103644486;0.932242818;4.69043003
362;52;1980;4;2.511954211;3.075831903;0.817883806;4.605170186
363;52;1981;4;2.351851334;3.10024543;0.899795429;4.490881006
364;52;1982;4;2.39543771;3.074575755;0.970816795;4.505349851
365;53;1977;4;1.928327883;3.258988409;0.035174075;4.755527968
366;53;1978;4;1.938309912;3.107850405;0.055150844;4.744714713
367;53;1979;4;1.930796511;3.099488503;0.032757564;4.716935149
368;53;1980;4;1.884946184;3.06557545;0.045546815;4.669786829
369;53;1981;4;1.726153712;3.079889628;-0.078394057;4.57779902
370;53;1982;4;1.544365894;3.136011473;-0.187414492;4.494517938
371;53;1983;4;1.502298059;3.238164595;-0.243473792;4.495355298
372;54;1977;1;1.335527244;3.169542713;-0.612673833;4.845477592
373;54;1978;1;1.413179739;3.120817472;-0.541800376;4.847226557
374;54;1979;1;1.437700149;3.137622385;-0.460924981;4.825448837
375;54;1980;1;1.424553097;3.213662298;-0.441766103;4.778393815
376;54;1981;1;1.324152991;3.12300789;-0.530858244;4.598725433
377;54;1982;1;1.116124714;3.268747309;-0.718054837;4.577210923
378;54;1983;1;0.969262579;3.309297713;-0.870839493;4.576713066
379;55;1976;4;1.70146998;3.578754802;-1.686318903;4.757032535
380;55;1977;4;1.876100602;3.518835162;-1.429201862;4.751000634
381;55;1978;4;1.931666329;3.489980275;-1.1248536;4.725616339
382;55;1979;4;1.975191548;3.475936759;-1.004848732;4.69043003
383;55;1980;4;1.871955996;3.56912698;-0.947781399;4.605170186
384;55;1981;4;1.757857952;3.557981733;-0.821207828;4.490881006
385;55;1982;4;1.732716946;3.617316291;-0.685774387;4.505349851
386;56;1976;1;1.066777531;3.092037413;-0.530688304;4.842323935
387;56;1977;1;1.107902369;3.023250208;-0.537683061;4.854880106
388;56;1978;1;1.093599713;3.008362179;-0.530008477;4.823909654
389;56;1979;1;1.056748119;3.122400166;-0.568631359;4.830053024
390;56;1980;1;0.960116211;3.020171244;-0.703601638;4.605170186
391;56;1981;1;0.760805876;3.220450584;-0.945719568;4.579139262
392;56;1982;1;0.444685757;3.257992648;-1.098412279;4.571403484
393;57;1977;8;0.716863756;2.684788398;-1.957577883;4.770073421
394;57;1978;8;0.769181867;2.676958491;-1.977607236;4.789661886
395;57;1979;8;0.698632061;2.671068047;-1.943513024;4.778715847
396;57;1980;8;0.629674758;2.657914132;-2.124438908;4.7309743
397;57;1981;8;-0.022245619;2.657198914;-2.428148282;4.586654799
398;57;1982;8;-0.177931197;2.735924738;-2.688247515;4.525197987
399;57;1983;8;-0.198450951;2.783306086;-2.831914205;4.523099641
400;58;1976;4;3.036874217;3.400653901;1.93424233;4.757032535
401;58;1977;4;3.122585165;3.261057573;2.071900668;4.751000634
402;58;1978;4;3.17157451;3.239717167;2.156379446;4.725616339
403;58;1979;4;3.138663103;3.19598379;2.10943713;4.69043003
404;58;1980;4;3.02140002;3.175040921;2.161574383;4.605170186
405;58;1981;4;2.803299834;3.221568197;2.091715866;4.490881006
406;58;1982;4;2.635407821;3.240238059;1.546071994;4.505349851
407;59;1977;8;2.287369927;2.905873209;0.291699069;4.770073421
408;59;1978;8;2.261554702;2.839657243;0.100569055;4.789661886
409;59;1979;8;2.190871081;2.795743568;0.050027494;4.778715847
410;59;1980;8;2.022077211;2.789507354;-0.109480078;4.7309743
411;59;1981;8;1.763702889;2.856159813;-0.402270217;4.586654799
412;59;1982;8;1.556669847;2.970886098;-0.6309238;4.525197987
413;59;1983;8;1.381784231;3.012682798;-0.768086267;4.523099641
